secs,km,power,hr,cad,alt
0,0,0,104,0,7.6
1,0.00111,0,104,0,7.6
2,0.00322,0,101,0,7.6
3,0.0049,0,100,0,7.6
4,0.00636,0,98,0,7.6
5,0.00763,0,97,0,7.6
6,0.00953,0,95,0,7.6
7,0.01165,0,95,0,7.6
8,0.01327,0,95,0,7.6
9,0.01584,0,94,0,7.6
23,0.01584,0,84,78,8
24,0.01941,351,84,85,8
25,0.02438,255,0,86,8
26,0.03083,265,84,79,8
27,0.03894,247,84,81,8
28,0.0467,248,85,83,8
29,0.05384,295,91,87,7.8
30,0.06182,34,98,87,7.8
31,0.07001,34,103,62,7.6
32,0.07809,140,107,91,7.4
33,0.08624,126,109,88,7.2
34,0.09518,87,111,85,7.2
35,0.10336,0,112,85,7
36,0.11028,0,111,89,7
37,0.11627,0,111,89,7
38,0.12182,0,110,89,7
39,0.12731,0,109,89,7
40,0.13253,0,109,89,7
41,0.13789,78,110,40,7
42,0.14398,215,110,73,7
43,0.15051,124,110,72,7
44,0.15705,76,110,79,7
45,0.16349,69,110,80,7
46,0.16957,0,110,82,7.2
47,0.17483,0,109,82,7.2
48,0.17946,0,108,82,7.2
49,0.18358,0,106,82,7.4
50,0.18712,0,105,82,7.2
51,0.1908,0,105,82,7.2
52,0.19529,0,106,0,7.2
53,0.20077,42,107,26,7.2
54,0.20654,178,110,62,7.4
55,0.21182,0,111,62,7.4
56,0.21647,0,112,64,7.4
57,0.22066,0,112,64,7.4
58,0.22453,0,111,64,7.4
59,0.22683,0,110,64,7.4
60,0.22861,0,109,64,7.4
61,0.23121,0,107,0,7.4
62,0.23369,0,107,0,7.4
63,0.23549,0,109,0,7.4
64,0.23859,130,110,66,7.4
65,0.24301,416,112,66,7.4
66,0.24842,416,113,78,7.4
67,0.25378,480,115,88,7.6
68,0.2597,683,118,102,7.6
69,0.26762,612,121,102,7.6
70,0.27647,612,122,105,7.6
71,0.28484,0,124,114,7.6
72,0.29348,0,125,114,7.6
73,0.30145,0,127,114,7.6
74,0.30937,47,128,42,7.6
75,0.31749,289,129,101,7.6
76,0.32548,240,130,98,7.6
77,0.33364,253,130,96,7.8
78,0.34258,224,131,98,7.8
