secs,km,power,hr,cad,alt
0,0,321,152,73,90.6
1,0.00591,321,152,79,90.6
2,0.01187,298,152,84,90.6
3,0.01802,292,153,87,90.6
4,0.02322,285,153,88,90.6
5,0.02322,282,154,89,90.6
6,0.03531,290,154,90,90.6
7,0.04046,298,155,90,90.6
8,0.04568,259,155,90,90.6
9,0.05564,259,156,91,90.6
10,0.06117,268,156,92,90.6
11,0.06692,258,157,93,90.6
12,0.06967,238,157,93,90.8
13,0.07571,266,157,93,90.8
14,0.0797,275,157,93,90.8
15,0.11603,272,158,93,90.8
16,0.13119,270,159,93,90.8
17,0.14224,243,159,92,90.8
18,0.15249,257,160,92,90.8
19,0.16168,276,160,92,90.8
20,0.17049,286,161,92,90.8
21,0.17855,291,162,92,90.8
22,0.18664,265,162,91,90.8
23,0.1945,293,162,91,90.8
24,0.20263,289,163,93,90.8
25,0.21082,295,164,93,90.8
26,0.21837,268,164,93,90.8
27,0.22636,265,164,92,90.8
28,0.23381,262,164,92,90.8
29,0.24696,280,164,92,90.8
30,0.25558,255,164,91,90.8
31,0.26277,231,164,91,90.8
32,0.27025,204,163,89,90.8
33,0.27687,207,163,90,90.8
34,0.28242,268,162,89,90.8
35,0.28815,253,161,92,90.8
36,0.29379,236,160,93,90.8
37,0.29775,0,160,69,90.8
38,0.3054,0,159,0,90.8
39,0.31428,0,158,0,90.8
40,0.32169,0,157,0,90.8
41,0.33157,0,156,0,90.8
42,0.33926,0,155,0,90.8
43,0.34541,0,153,0,90.8
44,0.35097,0,152,0,90.8
45,0.35537,0,151,0,90.8
46,0.35537,0,150,0,90.8
47,0.3569,0,149,0,90.8
48,0.35952,0,149,0,90.8
49,0.36152,0,147,0,90.8
50,0.36152,0,144,0,90.8
51,0.36152,0,144,0,90.8
52,0.36178,0,139,0,90.8
55,0.36178,0,133,0,90.8
56,0.36416,0,134,0,90.8
57,0.36686,0,135,0,90.8
58,0.37076,416,136,46,90.8
59,0.37592,402,138,48,90.8
60,0.38156,391,140,52,90.8
61,0.38737,393,141,57,90.8
62,0.39336,425,143,66,90.8
63,0.39959,392,145,70,90.8
64,0.40614,342,147,75,90.8
65,0.41301,337,149,78,90.8
66,0.42011,322,150,76,90.8
67,0.42754,295,152,75,90.8
68,0.43495,277,153,75,90.8
69,0.44263,0,154,56,90.8
70,0.44971,0,154,0,90.8
71,0.45407,0,155,0,90.8
72,0.4596,108,155,10,90.8
73,0.46546,153,156,49,90.8
74,0.4732,235,156,62,90.8
75,0.47963,264,156,75,90.8
76,0.48769,327,156,83,90.8
77,0.49483,297,156,88,90.8
78,0.50223,228,156,90,90.8
79,0.50921,228,155,87,90.8
80,0.51447,0,154,21,90.8
81,0.5183,0,153,0,90.8
82,0.52022,0,151,0,90.8
83,0.5236,526,150,13,90.8
84,0.52829,534,150,55,90.8
85,0.53473,528,150,61,90.8
86,0.54193,492,150,68,90.8
87,0.54979,462,150,74,90.8
88,0.55782,426,151,82,90.8
89,0.56534,460,152,87,90.8
90,0.57437,358,154,84,90.8
91,0.58258,331,155,83,90.8
92,0.59141,304,156,91,90.8
93,0.59992,280,157,97,90.8
94,0.60839,292,158,101,90.8
95,0.61733,281,160,101,90.8
96,0.62553,264,161,98,90.8
97,0.63452,260,161,97,90.8
98,0.64291,279,162,95,90.8
99,0.65127,271,162,95,90.8
100,0.65952,248,162,95,90.8
101,0.66808,251,163,95,90.8
102,0.67655,262,163,95,90.8
103,0.67655,250,164,96,90.8
104,0.69567,234,164,96,90.8
105,0.70499,238,165,97,90.8
106,0.71421,266,166,97,90.8
107,0.72294,257,167,98,90.8
108,0.73201,244,168,98,90.8
109,0.74103,253,168,97,90.8
110,0.74944,256,170,97,90.8
111,0.75722,242,170,97,90.8
112,0.76545,244,171,97,90.8
113,0.7743,243,172,97,90.8
114,0.78315,227,172,98,90.8
115,0.79163,264,173,98,90.8
116,0.80103,246,172,99,90.8
117,0.80956,237,172,99,90.8
118,0.81819,245,173,99,90.8
119,0.82736,244,172,101,90.8
