secs,km,power,hr,cad,alt
0,0,0,117,0,6
1,0.00756,0,117,0,6
5,0.03957,0,120,0,6
8,0.06462,0,123,0,6
11,0.08958,0,126,0,6
15,0.12236,0,129,0,5.8
19,0.15618,0,132,0,5.8
22,0.18273,0,135,0,5.8
26,0.21835,0,138,0,6
33,0.28083,0,140,0,6.6
38,0.32317,0,142,0,7
46,0.38919,0,141,0,7.2
50,0.40838,0,138,0,7.8
52,0.41106,0,134,0,8
53,0.41148,0,131,0,8.2
54,0.41148,0,129,0,8.2
71,0.41148,0,107,0,8.8
77,0.44423,0,110,0,8.4
78,0.45116,0,113,0,8.4
79,0.4585,0,116,0,8.2
81,0.47357,0,120,0,8.2
83,0.48905,0,124,0,8.2
84,0.49682,0,126,0,8.2
85,0.50479,0,129,0,8.2
88,0.5291,0,132,0,8.2
92,0.56256,0,135,0,8.4
94,0.57988,0,135,0,8.4
98,0.61443,0,136,0,8.4
105,0.6745,0,138,0,8.2
113,0.74328,0,139,0,8.2
120,0.80516,0,141,0,8.4
127,0.86622,0,141,0,8.4
134,0.92637,0,142,0,8.4
141,0.98794,0,141,0,8.6
148,1.04889,0,139,0,8.6
155,1.11032,0,138,0,8.6
162,1.17197,0,141,0,8.8
163,1.18078,0,141,0,9
167,1.21615,0,144,0,9.2
174,1.27821,0,146,0,9.2
182,1.34634,0,146,0,9
190,1.41242,0,145,0,9.2
195,1.45384,0,142,0,9.2
203,1.51875,0,141,0,9.2
211,1.58234,0,142,0,9.2
219,1.64738,0,141,0,9.6
221,1.66378,0,141,0,9.8
228,1.71769,0,137,0,10.2
232,1.73143,0,135,0,10.4
234,1.74203,0,137,0,10.6
238,1.76809,0,140,0,10.6
241,1.79111,0,143,0,10.6
242,1.79879,0,144,0,10.6
244,1.81352,0,146,0,10.6
247,1.83697,0,149,0,10.6
255,1.90214,0,150,0,10.4
262,1.96,0,153,0,10.6
270,2.02736,0,155,0,11
278,2.0946,0,156,0,11.4
286,2.16004,0,157,0,11.6
290,2.19229,0,157,0,11.6
297,2.24778,0,154,0,12
305,2.31001,0,153,0,12
312,2.36666,0,150,0,12.2
320,2.43381,0,148,0,12.6
321,2.44184,0,147,0,12.8
329,2.50658,0,147,0,13.4
338,2.56974,0,150,0,13.4
345,2.61986,0,149,0,13.6
350,2.65864,0,148,0,14.2
354,2.68511,0,145,0,14.6
355,2.69185,0,145,0,14.6
356,2.6987,0,144,0,14.8
364,2.76346,0,144,0,15.2
369,2.80928,0,141,0,15.2
372,2.83703,0,137,0,15.2
373,2.84612,0,137,0,15
376,2.87352,0,134,0,15
380,2.9115,0,134,0,14.8
386,2.96908,0,130,0,14.6
388,2.98724,0,127,0,14.8
390,3.00627,0,124,0,14.8
392,3.02539,0,122,0,14.8
398,3.07933,0,125,0,14.4
404,3.13052,0,127,0,14.2
409,3.16674,0,128,0,14.2
413,3.20044,0,131,0,14.2
416,3.22701,0,134,0,14.8
422,3.28226,0,136,0,15
428,3.3377,0,138,0,14.6
431,3.36536,0,139,0,14.2
438,3.43254,0,140,0,13.8
445,3.50132,0,141,0,13.6
447,3.5203,0,142,0,13.6
454,3.58736,0,141,0,12.8
461,3.65449,0,139,0,12.4
463,3.67377,0,139,0,12.4
464,3.68341,0,139,0,12.2
468,3.72154,0,142,0,12.2
469,3.73094,0,142,0,12.2
474,3.77785,0,144,0,12.2
481,3.84438,0,144,0,12.2
488,3.9112,0,145,0,12.2
495,3.97788,0,144,0,12.4
502,4.04165,0,144,0,12.2
509,4.10388,0,142,0,12.2
516,4.16887,0,142,0,12.8
523,4.23614,0,141,0,12.8
530,4.30321,0,140,0,12.4
537,4.37065,0,138,0,12.2
544,4.43752,0,136,0,12
551,4.50288,0,136,0,12.2
558,4.56911,0,137,0,12.4
565,4.63495,0,137,0,12.8
568,4.66278,0,134,0,12.8
570,4.68042,0,131,0,13
572,4.69823,0,129,0,13.2
579,4.76122,0,128,0,13.4
584,4.80529,0,126,0,13.6
587,4.83042,0,127,0,13.6
590,4.85592,0,126,0,14
594,4.89048,0,130,0,14
599,4.93358,0,133,0,14.2
600,4.94229,0,133,0,14.2
608,5.00917,0,134,0,14.4
611,5.0332,0,133,0,14.4
616,5.0738,0,132,0,14.8
618,5.09003,0,132,0,15
620,5.10623,0,133,0,15
623,5.13107,0,136,0,15.2
626,5.15636,0,137,0,15.4
630,5.18957,0,133,0,15.4
631,5.19746,0,131,0,15.4
636,5.23848,0,131,0,15.4
639,5.26551,0,135,0,15.4
642,5.29411,0,139,0,15.4
644,5.31213,0,142,0,15.4
647,5.34,0,145,0,15.2
649,5.35874,0,146,0,15.2
656,5.42267,0,144,0,15.4
661,5.46883,0,142,0,15.6
668,5.53221,0,144,0,15.8
670,5.55073,0,144,0,16
677,5.61674,0,147,0,16.4
684,5.68419,0,149,0,16.6
691,5.75171,0,146,0,16.8
696,5.79897,0,145,0,17
703,5.86608,0,144,0,17.4
710,5.93364,0,144,0,17.4
717,6.00118,0,142,0,18
718,6.0109,0,141,0,18
720,6.03032,0,140,0,18
722,6.04969,0,139,0,18
729,6.11802,0,139,0,18.2
734,6.16791,0,139,0,18.6
741,6.23667,0,140,0,19
748,6.30401,0,139,0,19.6
750,6.32328,0,138,0,19.6
754,6.36135,0,139,0,19.6
757,6.38973,0,139,0,19.6
761,6.42785,0,141,0,19.6
768,6.49343,0,142,0,19.2
769,6.50269,0,141,0,19.2
774,6.54852,0,140,0,19.2
776,6.56578,0,139,0,19.2
780,6.59829,0,138,0,19.2
783,6.62388,0,141,0,19.2
785,6.6411,0,144,0,19.4
787,6.65833,0,147,0,19.2
788,6.66697,0,147,0,19.2
793,6.70963,0,149,0,19.4
797,6.74422,0,146,0,19.4
803,6.79604,0,143,0,19.8
804,6.80475,0,144,0,20
806,6.82218,0,144,0,20.2
810,6.85715,0,147,0,20.4
816,6.9097,0,150,0,20.8
818,6.92748,0,150,0,21
822,6.96324,0,150,0,21.2
829,7.02419,0,152,0,21.2
837,7.09206,0,152,0,21.2
838,7.10007,0,151,0,21.4
842,7.12945,0,147,0,21.4
844,7.1411,0,144,0,21.6
846,7.15422,0,142,0,21.8
847,7.16143,0,142,0,21.8
851,7.19227,0,143,0,22
854,7.21631,0,146,0,22
856,7.23255,0,149,0,22.2
858,7.24884,0,152,0,22.2
861,7.27421,0,155,0,22.4
869,7.34195,0,156,0,22.4
870,7.35028,0,156,0,22.4
874,7.38354,0,157,0,22.6
877,7.40821,0,158,0,22.6
885,7.47301,0,161,0,22.6
891,7.52121,0,164,0,22.8
893,7.53747,0,165,0,23
901,7.60148,0,165,0,23.6
907,7.64942,0,162,0,23.8
908,7.65734,0,162,0,24
913,7.69676,0,160,0,24.2
921,7.75705,0,158,0,25
923,7.77247,0,157,0,25.2
926,7.79556,0,157,0,25.6
931,7.83498,0,154,0,25.8
935,7.86606,0,152,0,26
936,7.87355,0,152,0,26.2
938,7.88804,0,149,0,26.4
939,7.89503,0,148,0,26.4
944,7.92896,0,145,0,26.6
949,7.96853,0,147,0,27.2
957,8.03632,0,148,0,27.6
961,8.07,0,145,0,27.8
963,8.08609,0,143,0,27.8
968,8.1243,0,143,0,28
972,8.15665,0,146,0,28.2
974,8.17318,0,148,0,28.2
976,8.18961,0,149,0,28.2
978,8.20542,0,149,0,28.4
980,8.22095,0,148,0,28.6
984,8.25167,0,145,0,28.8
985,8.25949,0,145,0,28.8
992,8.31506,0,143,0,29
997,8.35339,0,140,0,29
999,8.36567,0,136,0,29
1000,8.36948,0,134,0,29.2
1002,8.37374,0,129,0,29.2
1004,8.37786,0,126,0,29.4
1008,8.38639,0,123,0,29.8
1012,8.40184,0,124,0,30
1013,8.40767,0,125,0,30.2
1015,8.42042,0,128,0,30.2
1016,8.42722,0,129,0,30.2
1020,8.45816,0,132,0,30.4
1028,8.52244,0,129,0,30.6
1030,8.53711,0,125,0,30.6
1031,8.54396,0,122,0,30.6
1033,8.55686,0,116,0,30.6
1038,8.57677,0,112,0,30.6
1039,8.58089,0,109,0,30.6
1041,8.58789,0,106,0,30.8
1046,8.61395,0,109,0,30.6
1054,8.67468,0,115,0,30.6
1055,8.68333,0,120,0,30.6
1056,8.69199,0,125,0,30.6
1057,8.70061,0,129,0,30.6
1058,8.70946,0,132,0,30.6
1063,8.75413,0,135,0,30.6
1070,8.81549,0,137,0,30.8
1073,8.8416,0,138,0,31
1080,8.90165,0,135,0,31.2
1083,8.92601,0,131,0,31.2
1085,8.94119,0,127,0,31.4
1086,8.94867,0,126,0,31.4
1089,8.97009,0,122,0,31.6
1092,8.98935,0,118,0,32
1095,9.00197,0,114,0,32.4
1102,9.03053,0,112,0,32.6
1105,9.05039,0,115,0,32.6
1107,9.06528,0,119,0,32.6
1109,9.08099,0,122,0,32.6
1110,9.08895,0,124,0,32.6
1112,9.1042,0,127,0,32.8
1114,9.12039,0,131,0,32.8
1115,9.1288,0,132,0,32.8
1118,9.15399,0,135,0,33
1123,9.19628,0,138,0,33.8
1125,9.21332,0,139,0,34
1132,9.27349,0,139,0,34.4
1139,9.33401,0,141,0,34.6
1146,9.39626,0,142,0,34.6
1151,9.44173,0,142,0,35
1158,9.50597,0,142,0,35.4
1165,9.56954,0,144,0,35.6
1169,9.60453,0,143,0,35.8
1172,9.63036,0,143,0,36
1176,9.66399,0,143,0,36.6
1179,9.68879,0,142,0,36.8
1187,9.75464,0,141,0,37
1191,9.78878,0,140,0,37
1199,9.85625,0,141,0,36.8
1207,9.92213,0,142,0,37
1208,9.93051,0,142,0,37.2
1216,9.99701,0,140,0,38
1219,10.0217,0,141,0,38.2
1227,10.0869,0,142,0,39
1229,10.1033,0,143,0,39.2
1237,10.1698,0,145,0,40
1239,10.1865,0,145,0,40.2
1246,10.2449,0,145,0,41.2
1250,10.28,0,145,0,41.2
1251,10.289,0,145,0,41.2
1258,10.3537,0,145,0,42
1262,10.391,0,146,0,42.2
1269,10.4555,0,146,0,42.2
1276,10.52,0,145,0,42.2
1283,10.583,0,144,0,42.2
1286,10.6093,0,144,0,42.4
1294,10.675,0,145,0,42.6
1300,10.7213,0,148,0,43.4
1304,10.7524,0,151,0,44.4
1305,10.7601,0,152,0,44.4
1310,10.7986,0,155,0,45.4
1311,10.8062,0,155,0,45.6
1319,10.8676,0,156,0,46
1327,10.93,0,154,0,46.4
1333,10.9745,0,154,0,46.6
1339,11.0205,0,154,0,47
1342,11.0437,0,154,0,47.6
1349,11.0979,0,153,0,47.8
