secs,km,power,hr,cad,alt
0,0,0,87,0,1299.4
1,0.00401,21,88,51,1299.2
2,0.00756,134,89,48,1299
3,0.01111,0,90,48,1298.8
4,0.01429,0,91,49,1298.8
5,0.01713,0,92,49,1298.8
6,0.02151,0,93,49,1298.8
7,0.02641,0,95,49,1298.8
8,0.03136,0,97,49,1298.8
9,0.03694,39,98,38,1298.6
10,0.04234,172,99,67,1298.6
11,0.04841,156,101,69,1298.6
12,0.05421,49,103,70,1298.6
13,0.06014,186,103,85,1298.6
14,0.06604,217,105,79,1298.6
15,0.07202,257,106,78,1298.8
16,0.07764,239,107,76,1298.8
17,0.08293,226,108,80,1298.8
18,0.08812,253,109,79,1298.8
19,0.0933,303,111,82,1298.8
20,0.09838,229,111,78,1298.8
21,0.10331,261,112,78,1298.8
22,0.1084,245,113,79,1298.8
23,0.11355,258,114,79,1298.8
24,0.11865,262,115,78,1298.8
25,0.12385,266,117,79,1298.8
26,0.12902,270,118,78,1298.8
27,0.1342,242,119,79,1298.8
28,0.13944,271,121,79,1298.8
29,0.14462,268,122,76,1299
30,0.14977,246,123,79,1299
31,0.15498,287,124,78,1299.2
32,0.16009,253,125,76,1299.4
33,0.16524,262,126,77,1299.6
34,0.17048,270,128,79,1299.6
35,0.17574,236,129,77,1300.2
36,0.18099,273,130,79,1300.8
37,0.1862,278,131,78,1301
38,0.19131,293,132,75,1301.4
39,0.19637,266,133,77,1301.4
40,0.20122,279,134,77,1301.6
41,0.20599,279,135,80,1301.8
42,0.21074,287,136,79,1302.2
43,0.21549,255,136,76,1302.6
44,0.22007,262,137,75,1302.8
45,0.2244,298,138,76,1303.2
46,0.22869,281,138,74,1303.4
47,0.23299,296,138,73,1303.6
48,0.23731,340,139,73,1303.6
49,0.24164,244,139,73,1303.8
50,0.2459,260,140,72,1304
51,0.24996,294,140,72,1304.2
52,0.25391,304,140,59,1304.6
53,0.25795,323,140,64,1304.8
54,0.26187,351,141,64,1305
55,0.26576,351,141,63,1305.2
56,0.26952,343,141,64,1305.8
57,0.27298,387,142,64,1306.2
58,0.27668,353,142,67,1306.6
59,0.28028,414,143,72,1307
60,0.28376,391,143,67,1307
61,0.28703,461,144,72,1307.2
62,0.29059,369,144,68,1307.4
63,0.29468,326,145,72,1307.6
64,0.29885,305,145,70,1308
65,0.30298,301,145,72,1308.6
66,0.30712,393,146,75,1309
67,0.31142,316,146,70,1309.4
68,0.31597,328,146,70,1309.6
69,0.32049,330,147,74,1309.8
70,0.32543,299,147,76,1310.2
71,0.33061,342,148,85,1310.4
72,0.33594,268,148,85,1311
73,0.34135,229,148,82,1311.6
74,0.3467,241,149,87,1312
75,0.352,221,149,83,1312.4
76,0.35734,210,149,84,1312.6
77,0.36272,188,149,86,1312.6
78,0.36815,194,149,86,1312.8
79,0.3736,174,149,85,1312.8
80,0.37907,179,149,86,1312.8
81,0.3844,151,149,87,1313.2
82,0.38994,154,149,86,1313.6
83,0.39534,153,149,84,1313.8
84,0.40071,170,148,88,1314
85,0.40601,163,148,82,1314
