secs,km,power,hr,cad,alt
0,0,58,106,84,21.8
1,0.00665,62,106,86,21.6
2,0.0126,84,107,86,21.6
3,0.01964,84,107,87,21.6
4,0.02667,71,107,82,21.6
5,0.03276,45,107,76,21.6
6,0.03906,64,108,83,21.6
7,0.04527,58,107,80,21.6
8,0.05162,69,107,82,21.4
9,0.05816,62,107,81,21.4
10,0.06459,53,107,82,21.4
11,0.07071,27,107,82,21.4
12,0.07726,27,106,72,21.4
13,0.08379,24,106,72,21.4
14,0.09037,24,105,47,21.6
15,0.09709,19,106,77,21.6
16,0.10358,0,105,77,21.6
17,0.11007,0,105,82,21.4
18,0.11688,0,105,82,21.4
19,0.12367,0,105,82,21.4
20,0.1306,0,105,0,21.4
21,0.13721,0,105,0,21.4
22,0.14335,0,105,0,21.4
23,0.14872,0,105,0,21.4
24,0.15307,0,105,0,21.4
25,0.15675,0,0,0,21.4
26,0.16001,0,0,0,21.6
27,0.16267,0,0,0,21.6
28,0.16451,0,0,0,21.6
29,0.16595,0,105,0,21.6
30,0.16783,0,103,0,21.6
31,0.17098,0,103,0,21.6
32,0.17495,77,102,60,21.6
33,0.17907,219,102,65,21.6
34,0.18332,271,102,72,21.6
35,0.1882,271,102,72,21.6
36,0.193,322,103,80,21.6
37,0.19748,233,103,75,21.6
38,0.20158,163,106,83,21.6
39,0.20728,216,107,92,21.6
40,0.21319,201,108,90,21.6
41,0.21929,154,109,87,21.4
42,0.22594,196,110,94,21.4
43,0.23239,198,111,95,21.4
44,0.23935,139,112,92,21.2
45,0.24605,0,113,93,21.2
46,0.25281,0,114,93,21.2
47,0.2591,0,115,93,21.2
48,0.26373,0,115,0,21.2
49,0.26726,0,115,0,21.2
50,0.27196,0,114,0,21.2
51,0.27512,0,115,0,21.2
52,0.27828,0,114,0,21.4
53,0.28289,26,115,21,21.6
54,0.28793,198,115,60,21.8
55,0.29334,181,117,64,22.2
56,0.29852,190,118,65,22.6
57,0.3049,177,121,68,22.8
58,0.31071,174,122,69,22.8
59,0.31615,182,125,73,23
60,0.32143,196,127,77,23.2
61,0.32717,229,128,80,23.2
62,0.33307,303,130,80,23.2
63,0.33944,303,132,81,23.2
64,0.34594,180,134,84,23.2
65,0.35268,201,135,87,23.4
66,0.35984,164,135,84,23.4
67,0.36709,169,137,84,23.2
68,0.37428,169,137,85,23.2
69,0.38121,148,138,86,23.2
70,0.38827,89,139,82,23.4
71,0.39568,0,139,85,23.4
72,0.40229,0,139,85,23.4
73,0.40859,0,139,85,23.4
74,0.41455,0,140,0,23.4
75,0.4204,0,141,0,23.4
76,0.42626,0,141,0,23.6
77,0.43196,0,142,0,23.4
78,0.43745,0,142,0,23.4
79,0.44322,0,143,0,23.4
