secs,km,power,hr,cad,alt
0,0,0,57,0,226.4
1,1e-5,0,57,0,226.4
270,1e-5,0,64,0,225.6
271,0.00178,0,64,0,225.6
276,0.01762,0,64,0,225.6
277,0.02226,0,64,0,225.6
278,0.02733,0,64,0,225.6
279,0.03281,0,66,0,225.6
280,0.03832,0,74,0,225.4
281,0.04384,0,78,0,225.4
282,0.04902,0,84,0,225.4
283,0.05388,0,89,0,225.6
284,0.0585,0,93,0,225.6
285,0.0628,0,95,0,225.6
286,0.06694,49,98,75,225.6
287,0.07053,168,101,75,225.6
288,0.07414,168,103,68,225.6
289,0.07755,147,105,65,225.6
290,0.08107,355,107,66,226
291,0.08511,298,107,66,226.2
292,0.08964,298,110,80,226.6
293,0.0939,369,111,76,226.8
294,0.09771,0,113,82,227
295,0.10169,0,114,82,227.4
296,0.10576,0,115,82,227.8
297,0.10964,81,117,44,228
298,0.11406,187,118,72,228.2
299,0.11853,116,119,72,228.2
300,0.12314,146,120,72,228.4
301,0.12746,146,121,58,228.8
302,0.13188,27,122,46,229
303,0.13578,19,123,71,229.6
304,0.13917,73,123,52,229.6
305,0.1424,98,124,50,230
306,0.14593,144,124,50,230.2
307,0.14983,144,125,64,230.4
308,0.15362,107,126,66,230.6
309,0.15773,120,126,67,231
310,0.16169,48,125,70,231.2
311,0.16519,15,126,69,231.4
312,0.16862,14,126,69,231.6
313,0.17232,14,125,70,231.8
314,0.17584,39,126,67,232
315,0.17923,23,125,61,232.2
316,0.18247,41,125,64,232.6
317,0.18559,102,125,67,232.6
318,0.18864,32,124,63,232.8
319,0.19129,67,124,59,232.8
320,0.19353,206,124,54,232.8
321,0.19657,243,123,58,233
322,0.19969,381,123,65,233
323,0.20289,447,123,83,233
324,0.20692,485,124,89,233.2
325,0.21135,304,124,91,233.2
326,0.21578,236,124,77,233.4
327,0.22057,453,125,77,233.6
328,0.22537,416,126,80,233.6
329,0.23098,450,127,80,233.8
330,0.2363,410,128,89,234
331,0.24167,422,129,92,234.2
332,0.24709,375,130,96,234.4
333,0.25311,577,131,95,234.6
334,0.25948,514,133,110,235
335,0.26611,304,133,130,235.4
336,0.27235,114,135,100,235.8
337,0.27815,145,135,100,236.2
338,0.28331,145,137,89,236.6
339,0.28819,338,138,87,237
340,0.29311,354,139,87,237.4
341,0.29812,318,141,88,237.8
342,0.30307,306,142,88,238.4
343,0.30785,264,142,85,238.6
344,0.31243,238,143,81,238.8
345,0.31662,231,144,79,239.8
346,0.32062,138,145,78,240.2
347,0.32511,126,145,82,241
348,0.33009,0,145,89,241.6
349,0.33496,0,145,63,242
350,0.33972,0,145,64,242.4
351,0.34457,0,146,64,243
352,0.34998,0,145,64,243.4
353,0.35626,31,145,52,243.6
354,0.36322,131,145,108,243.6
355,0.37064,102,145,102,243.6
356,0.37836,0,144,102,243.8
357,0.3864,0,144,102,243.8
358,0.39466,0,144,102,243.8
359,0.40309,0,144,102,243.8
360,0.41174,0,143,102,243.8
361,0.42032,0,143,102,243.8
362,0.42831,0,143,0,243.8
363,0.43559,0,142,0,243.4
364,0.44217,0,142,102,243.4
365,0.4481,0,141,102,243.2
366,0.45395,0,141,102,243
367,0.46014,0,140,0,242.8
368,0.46661,0,139,0,242.6
369,0.47354,103,139,122,242.4
370,0.48098,243,138,88,242.2
371,0.489,197,137,87,242
372,0.4975,212,136,87,241.6
373,0.50647,212,136,100,241.4
374,0.51597,185,135,110,241
375,0.52573,0,135,120,240.8
376,0.53567,0,135,120,240.6
377,0.54589,0,135,120,240.6
