secs,km,power,hr,cad,alt
0,0,0,113,0,0
1,0,0,111,0,0
2,0,0,109,0,0
3,0,0,108,0,0
4,0,0,107,0,0
5,0,0,106,0,0
6,0,0,105,0,0
7,0,0,103,0,0
8,0,0,103,0,0
9,0,0,103,0,0
10,0,0,103,0,0
11,0,0,103,0,0
12,0,0,103,0,0
13,0,0,103,0,-0.6
14,0,0,0,0,-0.6
26,0,0,96,0,-0.6
27,0.0019,0,95,0,-0.6
28,0.00445,0,95,0,-0.6
29,0.00672,0,95,0,-0.6
30,0.01078,625,96,47,-0.6
31,0.01628,648,99,51,-0.6
32,0.02274,663,101,60,-0.6
33,0.02963,697,103,70,-0.6
34,0.03755,661,103,79,-0.6
35,0.0457,661,103,85,-0.6
36,0.05308,385,103,74,-0.6
37,0.0607,385,103,78,-0.6
38,0.0681,248,105,76,-0.6
39,0.07594,0,107,38,-0.6
40,0.08206,0,112,0,-0.6
41,0.08905,0,120,0,-0.6
42,0.09517,0,123,0,-0.6
43,0.10171,207,125,17,-0.6
44,0.1091,300,126,76,-0.6
45,0.11693,325,127,81,-0.6
46,0.12496,329,128,89,-0.6
47,0.13271,329,129,93,-0.6
48,0.14035,352,130,95,-0.6
49,0.14815,304,132,96,-0.6
50,0.15587,327,133,96,-0.6
51,0.1636,326,134,96,-0.6
52,0.17126,305,135,95,-0.6
53,0.17877,315,137,94,-0.6
54,0.18609,305,138,93,-0.6
55,0.19337,309,139,93,-0.6
56,0.2008,295,140,94,-0.6
57,0.2084,307,142,94,-0.6
58,0.21608,283,143,93,-0.6
59,0.22372,317,144,93,-0.6
61,0.24717,288,147,94,-0.6
62,0.255,285,148,95,-0.6
63,0.26269,294,149,95,-0.6
64,0.27053,289,149,95,-0.6
65,0.2783,282,150,95,-0.6
66,0.28585,297,150,95,-0.6
67,0.29338,284,151,95,-0.6
68,0.30109,272,151,95,-0.6
69,0.30858,292,152,95,-0.6
70,0.31629,287,152,95,-0.6
71,0.32449,284,152,95,-0.6
72,0.33258,292,152,96,-0.6
73,0.3399,290,153,96,-0.6
74,0.34748,270,153,97,-0.6
75,0.35533,280,153,97,-0.6
76,0.36301,285,153,97,-0.6
77,0.37079,287,153,97,-0.6
78,0.37857,282,153,97,-0.6
79,0.38639,280,154,97,-0.6
80,0.39416,266,154,97,-0.6
81,0.40185,271,154,97,-0.6
82,0.40971,282,154,97,-0.6
83,0.41754,278,154,98,-0.6
84,0.42561,286,154,98,-0.6
85,0.43372,270,154,99,-0.6
86,0.44194,264,153,98,-0.6
87,0.45003,253,153,98,-0.6
88,0.45795,283,153,98,-0.6
89,0.46577,268,153,98,-0.6
90,0.47376,265,153,98,-0.6
91,0.48174,263,153,98,-0.6
92,0.48963,272,152,98,-0.6
