secs,km,power,hr,cad,alt
0,0,63,74,61,815.4
1,0.00449,66,74,63,815.4
2,0.00943,74,74,68,815.2
3,0.01469,67,74,70,815.2
4,0.02023,75,74,67,815.2
5,0.02597,73,74,66,815.2
6,0.03202,103,73,68,815
7,0.0384,110,73,73,815
8,0.04492,78,73,78,814.8
9,0.05151,48,72,79,814.8
10,0.0581,30,72,79,814.6
11,0.06477,21,72,73,814.6
12,0.07152,31,72,76,814.4
13,0.07837,30,71,76,814.2
14,0.08497,0,70,76,814
15,0.09102,0,69,0,814
16,0.09663,0,68,0,813.8
17,0.10207,0,66,0,813.6
18,0.10738,0,65,0,813.2
19,0.11254,0,64,0,813
20,0.1177,0,63,0,812.8
21,0.12279,0,63,0,812.8
22,0.12786,0,63,0,812.8
23,0.13296,0,62,0,812.6
24,0.13821,0,62,0,812.6
25,0.14381,122,63,63,812.4
26,0.14971,119,65,63,812.4
27,0.15601,149,66,65,812.2
28,0.16272,153,68,68,812
29,0.16989,176,71,74,812
30,0.1775,179,73,77,812
31,0.18493,172,75,81,812
32,0.19312,184,78,87,811.8
33,0.20148,159,81,89,811.6
34,0.20997,109,83,87,811.8
35,0.21849,0,85,87,811.8
36,0.22709,0,85,0,811.8
37,0.23574,0,85,0,811.6
38,0.24428,0,84,0,811.6
39,0.25282,0,84,0,811
40,0.26143,290,83,97,810.8
41,0.27025,238,84,96,810.4
42,0.27917,191,84,93,810.4
43,0.28837,145,85,94,810.2
44,0.29765,132,85,94,810
45,0.30722,144,87,94,810
46,0.31679,140,88,96,809.6
47,0.32616,107,90,88,809.4
48,0.3355,34,91,88,808.8
49,0.34483,34,91,0,808.4
50,0.35403,36,91,85,808.4
51,0.36328,106,91,88,808.2
52,0.37252,111,90,92,808
53,0.38174,109,91,93,807.8
54,0.39094,124,90,93,807.8
55,0.40004,148,91,93,807.6
56,0.40924,166,91,93,807.6
57,0.41844,166,91,93,807.4
58,0.42786,173,92,94,807.4
59,0.4375,176,93,96,807.2
60,0.44702,143,94,93,807.2
61,0.45669,0,94,93,807.2
62,0.46649,0,95,0,807
63,0.47668,0,95,0,807
64,0.48707,55,96,100,807
65,0.49763,27,96,100,806.8
66,0.50822,27,95,0,806.8
67,0.51896,27,96,97,806.8
68,0.52999,122,96,98,806.8
69,0.54128,119,96,98,806.8
70,0.55289,106,96,101,806.6
71,0.5645,84,96,99,806.6
72,0.57611,55,96,89,806.6
73,0.58785,68,96,94,806.2
