secs,km,power,hr,cad,alt
0,0,0,83,0,1627.2
1,0.00197,0,83,0,1627
2,0.00436,0,83,0,1627
3,0.00776,0,84,0,1627
4,0.01198,0,85,0,1626.6
5,0.01711,0,86,0,1626.6
6,0.02291,40,87,81,1626.6
7,0.02915,172,87,79,1626.6
8,0.03585,196,88,83,1626.4
9,0.0427,161,88,77,1626.4
10,0.04926,212,89,80,1626.2
11,0.05551,207,90,77,1626
12,0.06125,246,91,78,1625.8
13,0.06636,274,93,74,1625.8
14,0.07087,272,94,73,1625.8
15,0.07524,257,96,73,1625.8
16,0.07972,257,98,68,1625.8
17,0.08392,260,99,64,1625.8
18,0.08809,237,100,61,1625.8
19,0.09243,253,102,60,1625.8
20,0.09661,261,103,60,1625.8
21,0.10037,261,104,57,1625.8
22,0.10397,286,105,51,1626
23,0.10765,277,106,55,1626.4
24,0.11123,235,106,55,1627
25,0.11479,235,108,54,1627.4
26,0.11832,267,109,54,1627.6
27,0.12183,260,110,52,1628.2
28,0.12509,248,110,50,1628.4
29,0.12828,237,111,52,1628.8
30,0.13155,221,111,52,1629.2
31,0.13471,221,113,52,1629.4
32,0.13801,209,113,48,1629.8
33,0.14127,306,115,44,1630.2
34,0.14432,257,115,45,1630.6
35,0.14728,269,116,45,1631
36,0.15044,269,117,48,1631.2
37,0.15363,273,117,48,1631.4
38,0.15685,267,118,45,1631.6
39,0.16002,259,119,45,1631.6
40,0.16306,259,119,43,1632.2
41,0.16597,252,120,42,1632.8
42,0.16899,277,120,45,1633
43,0.17161,263,121,45,1633.4
44,0.17399,263,121,45,1633.4
45,0.1764,255,122,45,1633.6
46,0.17849,275,123,45,1634
47,0.18058,275,123,48,1634.2
48,0.18258,205,124,50,1634.4
49,0.18491,221,125,43,1634.8
50,0.18732,163,125,91,1634.8
51,0.19013,80,126,91,1635
52,0.1932,80,126,0,1635.4
53,0.19554,80,126,60,1635.6
54,0.19737,158,126,60,1636.2
55,0.19935,158,126,60,1636.4
56,0.20115,158,126,49,1636.6
57,0.20305,70,126,49,1636.8
58,0.20484,70,126,49,1636.8
59,0.20616,70,126,47,1637.4
60,0.20791,125,126,47,1638
61,0.20993,125,126,35,1638.4
62,0.21194,40,125,31,1638.6
63,0.21382,0,125,31,1638.8
64,0.21587,0,125,31,1639
65,0.21806,0,126,0,1639.4
66,0.21963,18,125,20,1639.6
67,0.22123,0,125,20,1639.8
68,0.22249,0,125,20,1640
